GeneID	GeneSymbol	log2fc	pvalue	padj
ENSMUSG00000000157.16	Itgb2l	0.786675656201996	0.691179429846847	NA
ENSMUSG00000000159.16	Igsf5	NA	NA	NA
ENSMUSG00000000167.14	Pih1d2	-0.156276857991397	0.702745400751749	0.929636941850065
ENSMUSG00000000168.9	Dlat	-0.0370230245647636	0.580217953109397	0.886850754528991
ENSMUSG00000000171.5	Sdhd	0.0624018641375359	0.246057124122515	0.675609010532987
ENSMUSG00000000182.9	Fgf23	NA	NA	NA
ENSMUSG00000000183.6	Fgf6	-0.626330058080694	0.851796937554396	NA
ENSMUSG00000000184.12	Ccnd2	0.0479947855319052	0.88151405094734	0.97763818904522
ENSMUSG00000000194.13	Gpr107	-0.0472870774176976	0.379132514231898	0.781883320371405
ENSMUSG00000000197.8	Nalcn	NA	NA	NA
ENSMUSG00000000202.9	Btbd17	-0.33315419993076	0.365217824541332	0.771084482393349
ENSMUSG00000000204.16	Slfn4	0.196839915238829	0.442858996568827	0.821661695468129
ENSMUSG00000000214.11	Th	NA	NA	NA
ENSMUSG00000000215.11	Ins2	NA	NA	NA
ENSMUSG00000000216.8	Scnn1g	NA	NA	NA
ENSMUSG00000000223.13	Drp2	0.713772333405463	0.144367351792435	0.53940056408562
ENSMUSG00000000244.17	Tspan32	-0.176029349674834	0.0387824900436282	0.279174841067354
ENSMUSG00000000247.11	Lhx2	2.6082329308395	0.0789332937217556	NA
ENSMUSG00000000248.16	Clec2g	-0.0415722162417321	0.758034312835073	0.946195849010257
ENSMUSG00000000253.13	Gmpr	0.244254973941017	0.5010600385176	0.848014479499204
ENSMUSG00000000263.15	Glra1	NA	NA	NA
ENSMUSG00000000266.11	Mid2	0.25573942991801	0.112273306165804	0.483770917395635
ENSMUSG00000000275.16	Trim25	0.0455943184444797	0.663416774768613	0.915412777755148
ENSMUSG00000000276.11	Dgke	-0.177051061829423	0.1505191126178	0.549685722380188
ENSMUSG00000000278.10	Scpep1	0.0768116326187319	0.241946833907578	0.671108439427772
ENSMUSG00000000282.12	Mnt	0.152547738385494	0.0501685771893982	0.317395770758366
ENSMUSG00000000290.13	Itgb2	-0.107242597115016	0.214634441348356	0.640124576010385
ENSMUSG00000000295.13	Hddc2	0.118371774538822	0.447046177430411	0.825082545721937
ENSMUSG00000000296.8	Tpd52l1	1.27793591656734	0.449981558853154	NA
ENSMUSG00000000301.16	Pemt	0.471990428255669	0.116438043676391	0.491243932829191
ENSMUSG00000000303.12	Cdh1	0.157320475469559	0.775402801780742	NA
ENSMUSG00000000305.12	Cdh4	NA	NA	NA
ENSMUSG00000000308.14	Ckmt1	NA	NA	NA
ENSMUSG00000000317.11	Bcl6b	-0.0364780667923028	0.943355451953123	0.98987658984746
ENSMUSG00000000318.16	Clec10a	-0.327912827359973	0.0313320442935765	0.248101743825755
ENSMUSG00000000320.10	Alox12	-2.06378346364847	0.128055448308643	NA
ENSMUSG00000000325.16	Arvcf	0.448600910705334	0.00941142584396222	0.115593433837275
ENSMUSG00000000326.13	Comt	0.155617696246611	0.0692703128112548	0.376595745089847
ENSMUSG00000000339.14	Rtca	0.0955417083277066	0.327951448483218	0.747150534722137
ENSMUSG00000000340.10	Dbt	-0.0779309795344492	0.367369996910003	0.772627843291747
ENSMUSG00000000346.9	Dazap2	0.0169276366258658	0.698407209542699	0.928284780057424
ENSMUSG00000000355.13	Mcts1	0.0305756046524885	0.67963469103605	0.921787033160905
ENSMUSG00000000359.3	Rem1	0.117705312100373	0.652360580286285	0.912385696082765
ENSMUSG00000000365.9	Rnf17	0.0761393209996635	0.682092971881098	0.923124089834393
ENSMUSG00000000374.8	Trappc10	0.116173230281893	0.0689548331768043	0.375919192764994
ENSMUSG00000000378.15	Ccm2	0.159899256722547	0.0154369728127489	0.159088690301449
ENSMUSG00000000381.10	Wap	NA	NA	NA
ENSMUSG00000000384.15	Tbrg4	-0.126181895278197	0.0502049860950907	0.317395770758366
ENSMUSG00000000385.8	Tmprss2	NA	NA	NA
ENSMUSG00000000386.16	Mx1	0.54753446026287	0.00387261822602865	0.0635352507584068
ENSMUSG00000000392.17	Fap	0.156487150125156	0.606381165090519	0.896093085651913
ENSMUSG00000000394.15	Gcg	NA	NA	NA
ENSMUSG00000000399.10	Ndufa9	0.00146307966563518	0.978458002518512	0.994322094334769
ENSMUSG00000000402.2	Egfl6	-0.626330058080694	0.851796937554396	NA
ENSMUSG00000000409.14	Lck	-0.129202079602983	0.627952236200918	0.903189441338413
ENSMUSG00000000411.7	Tssk3	NA	NA	NA
ENSMUSG00000000416.16	Cttnbp2	0.672078002778874	0.841111315468519	NA
ENSMUSG00000000420.15	Galnt1	-0.0253345828765339	0.561721343428455	0.879238362383047
ENSMUSG00000000435.1	Myf5	NA	NA	NA
ENSMUSG00000000439.9	Mkrn2	0.0851521754611175	0.247837456756823	0.677567460709708
ENSMUSG00000000440.12	Pparg	-0.410083561434491	0.0589687179396525	0.346187449393516
ENSMUSG00000000441.17	Raf1	-0.0755817745119347	0.301635900440435	0.727148431048639
ENSMUSG00000000486.13	Sept1	-0.141127989366016	0.588766613368046	0.89031371262553
ENSMUSG00000000489.7	Pdgfb	-1.15516128794687	4.88752039197372e-05	0.00200210856280153
ENSMUSG00000000530.16	Acvrl1	-0.23789186861933	0.134338147020617	0.522747946198058
ENSMUSG00000000531.5	Grasp	-0.197401307188201	0.588106691342797	0.890141875172062
ENSMUSG00000000532.11	Acvr1b	0.0450977434996433	0.484234667937638	0.840246664865894
ENSMUSG00000000538.18	Tom1l2	0.0261098386626445	0.72911383218255	0.93774610830944
ENSMUSG00000000544.14	Gpa33	-1.20339870589457	0.719626305351089	NA
ENSMUSG00000000552.10	Zfp385a	-0.291792392590677	0.0241337607943928	0.211024505299339
ENSMUSG00000000555.8	Itga5	-0.606386110420076	8.29074330513094e-05	0.00315801949531806
ENSMUSG00000000560.9	Gabra2	NA	NA	NA
ENSMUSG00000000561.14	Wdr77	0.0340348030837874	0.674035930733298	0.919384380437346
ENSMUSG00000000562.5	Adora3	0.72831786774869	0.00402617713278861	0.0653983313261108
ENSMUSG00000000563.17	Atp5pb	0.010229719686006	0.845675355564731	0.968665866543527
ENSMUSG00000000567.5	Sox9	3.16543416571939	0.028811082657081	NA
ENSMUSG00000000568.15	Hnrnpd	0.14861910604619	0.00162005710445278	0.0335093616880113
ENSMUSG00000000579.14	Dynlt1c	0.424056602861052	0.0441299812567511	0.299336806258212
ENSMUSG00000000581.8	C1d	0.00517581751053299	0.959927034310438	0.992129174917512
ENSMUSG00000000594.7	Gm2a	-0.133638161509191	0.173895487994363	0.587098526876659
ENSMUSG00000000600.15	Krit1	-0.010402756369751	0.900703754332491	0.979656794464432
ENSMUSG00000000605.9	Clcn4	-0.107201932139492	0.0326980896282397	0.255470156845038
ENSMUSG00000000606.18	Vmn2r88	NA	NA	NA
ENSMUSG00000000617.14	Grm6	-1.06803334139372	0.0342425746336083	0.262383344806314
ENSMUSG00000000627.15	Sema4f	-0.820684303512759	0.527788580640433	NA
ENSMUSG00000000628.10	Hk2	0.059245953769477	0.501614477941235	0.848435476164197
ENSMUSG00000000631.20	Myo18a	0.0215079152286542	0.819630719285123	0.961951853670125
ENSMUSG00000000632.13	Sez6	NA	NA	NA
ENSMUSG00000000673.9	Haao	-0.218741277765653	0.480432629286421	0.838597086491014
ENSMUSG00000000682.7	Cd52	-0.52725034414868	1.51051552551441e-07	1.70397770628221e-05
ENSMUSG00000000686.11	Abhd15	-0.179203768285223	0.427255587810819	0.810464777550854
ENSMUSG00000000690.5	Hoxb6	0.681556633369314	0.142965923614136	0.538002378701899
ENSMUSG00000000693.10	Loxl3	-0.106546783606718	0.325210239652045	0.744149732233903
ENSMUSG00000000701.8	Tcl1b5	NA	NA	NA
ENSMUSG00000000706.16	Btn1a1	NA	NA	NA
ENSMUSG00000000708.14	Kat2b	0.0245001307593608	0.703256587088808	0.929776335477252
ENSMUSG00000000711.3	Rab5b	-0.0224075520232685	0.696707537711804	0.927572949663514
ENSMUSG00000000724.10	Cryba1	NA	NA	NA
ENSMUSG00000000730.13	Dnmt3l	-0.901162344772795	8.20325005442416e-07	6.72070737699052e-05
ENSMUSG00000000731.15	Aire	-0.307489814530729	0.866680766448258	NA
ENSMUSG00000000732.9	Icosl	-0.648678795075501	0.0086297726308738	0.109571961585943
ENSMUSG00000000738.18	Spg7	0.0721778092539841	0.180701645370132	0.599173619247991
ENSMUSG00000000739.14	Sult5a1	1.40698627761045	0.666453232380886	NA
ENSMUSG00000000740.12	Rpl13	-0.0473809678691087	0.546086567953506	0.871119981218297
ENSMUSG00000000743.9	Chmp1a	-0.0596143931198778	0.304029964462843	0.728648378631735
ENSMUSG00000000751.13	Rpa1	0.082480339353194	0.349802929599634	0.760317172458668
ENSMUSG00000000753.15	Serpinf1	-0.0733755832086831	0.935791183527251	NA
ENSMUSG00000000759.14	Tubgcp3	0.0556935436070601	0.488987490775044	0.842545370220276
ENSMUSG00000000766.18	Oprm1	0.861611539518818	0.728477502652121	NA
ENSMUSG00000000776.13	Polr3d	-0.193946790933913	0.0320889327283656	0.252866307609609
ENSMUSG00000000782.16	Tcf7	0.466042970652061	0.114217659618848	0.486636251688091
ENSMUSG00000000787.12	Ddx3x	0.0487765690584499	0.333522644797166	0.750160171657495
ENSMUSG00000000791.9	Il12rb1	0.208855474573302	0.444016720599819	0.822263569591659
ENSMUSG00000000792.2	Slc5a5	1.18530278903375	0.481394811347767	NA
ENSMUSG00000000794.9	Kcnn3	0.696564902587499	0.000112194054413676	0.00395511011532827
ENSMUSG00000000804.14	Usp32	0.0512517078372019	0.400342172731514	0.794506229804661
ENSMUSG00000000805.18	Car4	1.32279001513986	0.484601384139015	NA
ENSMUSG00000000811.13	Txnrd3	-0.0341752592617509	0.765640310124602	0.946511699367236
ENSMUSG00000000817.10	Fasl	0.120981961033059	0.817721903452378	NA
ENSMUSG00000000823.16	Zfp512b	0.142532921468085	0.0399213190845835	0.282774162067772
ENSMUSG00000000826.16	Dnajc5	0.0176456921167873	0.73588831435263	0.938430190535379
ENSMUSG00000000827.18	Tpd52l2	-0.0809273660849251	0.183834778698682	0.603117903717265
ENSMUSG00000000838.17	Fmr1	0.139896687948432	0.0726644465186487	0.386936858458963
ENSMUSG00000000861.15	Bcl11a	0.101249701896952	0.755265876613101	0.946195849010257
ENSMUSG00000000869.12	Il4	0.566928108833592	0.205017464589803	0.629311854001348
ENSMUSG00000000876.11	Pxmp4	0.139402957420142	0.127135133235114	0.511933182242673
ENSMUSG00000000881.12	Dlg3	-0.10880390895902	0.375812862181167	0.779863538118977
ENSMUSG00000000884.17	Gnb1l	-0.112024326646981	0.621639193826054	0.901650472945933
ENSMUSG00000000889.8	Dbh	NA	NA	NA
ENSMUSG00000000901.17	Mmp11	0.539987949999681	0.184742415911861	0.604452998775974
ENSMUSG00000000902.13	Smarcb1	-0.126936068921033	0.0293844698348873	0.238474405162491
ENSMUSG00000000903.3	Vpreb3	0.799434353537175	0.63950086640438	NA
ENSMUSG00000000915.15	Hip1r	0.0328654355950112	0.893124946399455	0.978635902398885
ENSMUSG00000000916.15	Nsun5	0.0167978669355275	0.848504681391427	0.969633587090748
ENSMUSG00000000934.9	Top1mt	0.21204361815631	0.103728625187655	0.46234340137204
ENSMUSG00000000938.11	Hoxa10	-0.626330058080695	0.851796937554395	NA
ENSMUSG00000000942.10	Hoxa4	-0.305108933328518	0.773590156472654	NA
ENSMUSG00000000948.16	Gm38393	0.0950094425169159	0.977294261361227	NA
ENSMUSG00000000957.11	Mmp14	-0.0545636868139786	0.508043454414244	0.853022855050091
ENSMUSG00000000958.10	Slc7a7	0.0324857324485608	0.680399462998316	0.922252855835176
ENSMUSG00000000959.7	Oxa1l	-0.0338710428971277	0.712523510724319	0.932745656098511
ENSMUSG00000000976.13	Heatr6	0.0754551545520591	0.430941825082232	0.81330227461334
ENSMUSG00000000982.5	Ccl3	-0.183526750295932	0.242225660920996	0.671627777917641
ENSMUSG00000000983.13	Wfdc18	0.395336430652756	0.22035800947441	0.647142077823714
ENSMUSG00000001014.6	Icam4	-0.26671287504679	0.724465242724709	NA
ENSMUSG00000001016.12	Ilf2	-0.0251918694325073	0.7581147611725	0.946195849010257
ENSMUSG00000001017.15	Chtop	-0.0393050050308706	0.425889586352852	0.809234359142858
ENSMUSG00000001018.15	Snapin	-0.0070357458487703	0.915940102761541	0.983625024613099
ENSMUSG00000001020.8	S100a4	0.152364416005969	0.619549987320323	0.900971404634293
ENSMUSG00000001021.13	S100a3	0.672078002778874	0.841111315468519	NA
ENSMUSG00000001023.10	S100a5	0.672078002778874	0.841111315468519	NA
ENSMUSG00000001025.8	S100a6	0.135742350291219	0.235111158196226	0.664646418748978
ENSMUSG00000001027.7	Scn4a	-0.111813870835412	0.721709147849768	0.935719028864943
ENSMUSG00000001029.15	Icam2	0.12919479105615	0.134351088139528	0.522747946198058
ENSMUSG00000001034.17	Mapk7	0.208224893492644	0.00154150211032807	0.0322484000684182
ENSMUSG00000001036.17	Epn2	0.151556858350941	0.105230261085346	0.465942566067813
ENSMUSG00000001039.12	B9d1	0.269428487817564	0.375800926022536	0.779863538118977
ENSMUSG00000001052.15	Sec24b	-0.126786946377459	0.0514533291629001	0.321649648402969
ENSMUSG00000001053.15	N4bp3	-0.316914100331635	0.0385627531368486	0.279174841067354
ENSMUSG00000001054.9	Rmnd5b	0.000329114346506272	0.996897647755813	0.999043653097895
ENSMUSG00000001056.3	Nhp2	-0.0214187130983419	0.823123196278044	0.9632991519765
ENSMUSG00000001062.18	Vps9d1	0.126464047188732	0.259888632765743	0.690036555982904
ENSMUSG00000001065.15	Zfp276	0.0550310952951353	0.571889719723824	0.883573681122733
ENSMUSG00000001076.7	C1ql4	NA	NA	NA
ENSMUSG00000001082.12	Mfsd10	0.0227821538949098	0.738889886704445	0.939875113931883
ENSMUSG00000001089.14	Luzp1	-0.211968781201632	0.0378799953960914	0.276881583720783
ENSMUSG00000001095.5	Slc13a2	-1.16521929022615	0.119366243742547	NA
ENSMUSG00000001098.15	Kctd10	-0.00237483142411187	0.970859491793213	0.992964631335485
ENSMUSG00000001100.10	Poldip2	0.012360607330585	0.855861510548161	0.971261737675198
ENSMUSG00000001103.7	Sebox	NA	NA	NA
ENSMUSG00000001105.15	Ift20	-0.0529879667865671	0.595711891351488	0.893562151917119
ENSMUSG00000001119.7	Col6a1	0.289749492929244	0.50359712922668	0.84994823460303
ENSMUSG00000001120.15	Pcbp3	0.274244116754497	0.032759026703684	0.255673830021036
ENSMUSG00000001123.15	Lgals9	0.0379358288770747	0.65780113743187	0.914808314882729
ENSMUSG00000001127.12	Araf	0.00857822959049048	0.887803955233897	0.977743410338431
ENSMUSG00000001128.7	Cfp	0.176737260969745	0.00937975940332178	0.115397795008149
ENSMUSG00000001131.11	Timp1	-0.225075308643515	0.340559084927375	0.754973122081619
ENSMUSG00000001134.9	Uxt	0.0200874931030405	0.877829127809292	0.976810824935386
ENSMUSG00000001138.13	Cnnm3	0.0746493246610324	0.523237066936606	0.860634888275699
ENSMUSG00000001143.13	Lman2l	-0.0654904824295034	0.359231625824924	0.768061203196168
ENSMUSG00000001150.7	Mcm3ap	0.0269808967901599	0.658706454171464	0.915042506474969
ENSMUSG00000001151.10	Pcnt	0.0794764608341647	0.134554555557934	0.522999690954023
ENSMUSG00000001155.13	Ftcd	NA	NA	NA
ENSMUSG00000001156.9	Mxd1	0.134830279504007	0.117975578953194	0.493894337810047
ENSMUSG00000001157.13	Gmcl1	0.017369755458214	0.847826076068304	0.969633587090748
ENSMUSG00000001158.13	Snrnp27	0.0725560757489189	0.411662754837655	0.800615728656049
ENSMUSG00000001166.17	Oas1c	0.281601856246452	0.0638735245698815	0.360965409563511
ENSMUSG00000001168.16	Oas1h	-0.626330058080694	0.851796937554396	NA
ENSMUSG00000001173.15	Ocrl	0.0824984570825301	0.206602927770941	0.631214986616843
ENSMUSG00000001175.15	Calm1	0.0205212703754684	0.717874401865342	0.934972446953837
ENSMUSG00000001211.15	Agpat3	0.271941673058134	0.00079197112609526	0.0190397648593229
ENSMUSG00000001225.12	Slc26a3	-0.626330058080694	0.851796937554396	NA
ENSMUSG00000001227.12	Sema6b	0.629951974098855	0.00216037914890594	0.0415664417331946
ENSMUSG00000001228.14	Uhrf1	-0.0269385549111472	0.895461542115569	0.979347612623096
ENSMUSG00000001229.9	Dpp9	-0.00685554643425389	0.905169588363428	0.981157147189893
ENSMUSG00000001240.13	Ramp2	1.80759128651266	0.338390342694578	NA
ENSMUSG00000001247.16	Lsr	-0.0822637597184732	0.680472956105156	0.922252855835176
ENSMUSG00000001248.15	Gramd1a	-0.0740935681571279	0.241760628379247	0.670718807261002
ENSMUSG00000001249.14	Hpn	0.312561802382972	0.0369657400929641	0.274254259605364
ENSMUSG00000001260.10	Gabrg1	NA	NA	NA
ENSMUSG00000001270.9	Ckb	0.168271797767709	0.0834307477961667	0.412651573838376
ENSMUSG00000001280.13	Sp1	-0.00518331908286916	0.909900658845841	0.982526556363615
ENSMUSG00000001281.10	Itgb7	0.350662374796415	0.0168591110689365	0.169252671923858
ENSMUSG00000001285.12	Myg1	-0.00782601474688043	0.921023667349198	0.984717336871739
ENSMUSG00000001288.15	Rarg	0.0363840637422812	0.632107632193004	0.904375036541934
ENSMUSG00000001289.12	Pfdn5	0.023670192581679	0.720456005152858	0.9354127769426
ENSMUSG00000001300.16	Efnb2	0.343504316285353	0.000483786267334476	0.0129465795811315
ENSMUSG00000001305.5	Rrp15	0.135053507748199	0.138313144251354	0.529732350100243
ENSMUSG00000001313.12	Rnd2	0.0915444610014925	0.605950577996259	0.895838534053238
ENSMUSG00000001323.17	Srr	0.182591103157362	0.115149666459294	0.488555620024554
ENSMUSG00000001333.9	Sync	0.496762881390346	0.671918729932481	NA
ENSMUSG00000001334.9	Fndc5	-1.20339870589457	0.719626305351089	NA
ENSMUSG00000001348.15	Acp5	-0.178454827945938	0.188671074211384	0.61011274604409
ENSMUSG00000001349.5	Cnn1	-0.626330058080695	0.851796937554395	NA
ENSMUSG00000001366.14	Fbxo9	0.128017775409507	0.122059335807514	0.503338362764551
ENSMUSG00000001376.17	Vps50	-0.0648700953783696	0.262115197868914	0.691713019095828
ENSMUSG00000001380.7	Hars	-0.0497731461410734	0.486708180462729	0.841596241535073
ENSMUSG00000001383.9	Zmat2	-0.0412399675488993	0.561500179153265	0.879238362383047
ENSMUSG00000001403.13	Ube2c	-0.301516048010053	0.314759005386955	0.736751054306487
ENSMUSG00000001415.10	Smg5	-0.0687171161067524	0.264145161649956	0.69367949819454
ENSMUSG00000001416.13	Cct3	-0.0457383411545368	0.443003524384361	0.821661695468129
ENSMUSG00000001418.13	Glmp	-0.0329552260467675	0.617001043923344	0.900688862147704
ENSMUSG00000001419.17	Mef2d	-0.12116708784401	0.0797395415594204	0.405052097087286
ENSMUSG00000001420.13	Tmem79	-0.103018036800708	0.75967333283365	0.94623428057877
ENSMUSG00000001424.14	Snd1	-0.0531425862800127	0.341340740641825	0.755244713565534
ENSMUSG00000001435.15	Col18a1	0.305117512415024	0.250610291232338	0.680970895112514
ENSMUSG00000001436.15	Slc19a1	0.138592756662766	0.214681073613525	0.640124576010385
ENSMUSG00000001440.5	Kpnb1	0.0634042691942659	0.200140566968513	0.623420011595847
ENSMUSG00000001441.13	Npepps	-0.00270855809899579	0.967205395383209	0.992265300500648
ENSMUSG00000001444.2	Tbx21	0.613393137050394	0.0854200801126828	0.418258923156091
ENSMUSG00000001445.10	Mrpl10	0.0211082332243148	0.735241208139733	0.938326915173619
ENSMUSG00000001467.5	Cyp51	-0.270210625373847	0.0029354042794236	0.0519272662940254
ENSMUSG00000001472.17	Tcf25	-0.0044089981335413	0.906794386629312	0.981489588594794
ENSMUSG00000001473.7	Tubb6	-0.407682161526062	4.96989304194927e-10	1.20558348228277e-07
ENSMUSG00000001482.15	Def8	0.067893986844455	0.405006211458084	0.79716235591847
ENSMUSG00000001493.9	Meox1	0.506617276247449	0.0255065374308674	0.219397974859393
ENSMUSG00000001494.6	Sost	2.3549432997963	0.186579588067531	NA
ENSMUSG00000001496.15	Nkx2-1	NA	NA	NA
ENSMUSG00000001497.18	Pax9	NA	NA	NA
ENSMUSG00000001504.10	Irx2	0.340750517587974	0.695865735642883	NA
ENSMUSG00000001506.10	Col1a1	-0.149852903550543	0.755539973824162	0.946195849010257
ENSMUSG00000001507.16	Itga3	0.141114977900232	0.653119752969547	0.912385696082765
ENSMUSG00000001508.15	Sgca	0.0950093549649995	0.977390928562301	NA
ENSMUSG00000001510.8	Dlx3	NA	NA	NA
ENSMUSG00000001517.14	Foxm1	-0.0506292146490103	0.779203639456744	0.950898017746968
ENSMUSG00000001518.12	Itfg2	0.0890931163788958	0.373001201584511	0.777778254544404
ENSMUSG00000001520.12	Nrip2	-2.49527330556622	0.325902635065865	NA
ENSMUSG00000001521.12	Tulp3	0.117971863184871	0.376172942527148	0.780169170154238
ENSMUSG00000001524.14	Gtf2h4	-0.0663286980326638	0.510714747768567	0.854785639811234
ENSMUSG00000001525.10	Tubb5	-0.0764670213187167	0.18338864011969	0.602617773002122
ENSMUSG00000001542.7	Ell2	-0.430470385210885	0.00133535882259775	0.0287659867464754
ENSMUSG00000001552.14	Jup	-0.00275641114778509	0.982698157551573	0.995459589728108
ENSMUSG00000001555.10	Fkbp10	0.0445038830684808	0.945934794792997	0.98987658984746
ENSMUSG00000001558.5	Klhl10	0.807163356973394	0.407221896502147	NA
ENSMUSG00000001566.9	Mnx1	NA	NA	NA
ENSMUSG00000001569.10	Nom1	-0.00896533076387507	0.903848087220808	0.980829219449627
ENSMUSG00000001576.15	Ergic1	0.135812440968583	0.0144282631320227	0.152332958121751
ENSMUSG00000001583.13	Tnk1	0.672078002778874	0.841111315468519	NA
ENSMUSG00000001588.12	Acap1	0.0426378911647867	0.895349791716283	0.979347612623096
ENSMUSG00000001604.14	Tcea3	-0.0740877121238089	0.87742398492984	0.976810824935386
ENSMUSG00000001622.15	Csn3	-0.482059071222585	0.869244976458016	NA
ENSMUSG00000001627.12	Ifrd1	-0.479395265494528	4.6730649056975e-07	4.25655259888533e-05
ENSMUSG00000001630.13	Stk38l	-0.638849795039986	1.78121666934568e-05	0.000891520220339743
ENSMUSG00000001632.16	Brpf1	-0.116605378829307	0.0702966390744537	0.380315341963594
ENSMUSG00000001642.18	Akr1b3	-0.0777468981354609	0.202745981416754	0.626739731315711
ENSMUSG00000001655.6	Hoxc13	NA	NA	NA
ENSMUSG00000001656.3	Hoxc11	NA	NA	NA
ENSMUSG00000001657.7	Hoxc8	0.772501538935673	0.793896224547228	NA
ENSMUSG00000001661.5	Hoxc6	0.264830396241802	0.735651091856272	NA
ENSMUSG00000001663.10	Gstt1	-0.618259687720211	0.0499383017928961	0.317139679186335
ENSMUSG00000001665.11	Gstt3	0.0164442728476708	0.918350480099373	0.983902819309518
ENSMUSG00000001666.8	Ddt	-0.0577638576884409	0.765993999872881	0.946511699367236
ENSMUSG00000001670.13	Tat	NA	NA	NA
ENSMUSG00000001672.14	Marveld3	-0.482059102905518	0.872030506422805	NA
ENSMUSG00000001674.11	Ddx18	-0.0888883893360996	0.338144616192024	0.754203923415367
ENSMUSG00000001687.15	Ubl3	-0.160950977959823	0.000986804270620717	0.0226371871612395
ENSMUSG00000001700.10	Gramd3	0.0926509229835412	0.314879154768407	0.736751054306487
ENSMUSG00000001707.8	Eef1e1	-0.0969314810456421	0.465197988621891	0.833310443956151
ENSMUSG00000001729.14	Akt1	0.025390103790184	0.610931940688874	0.898087100060379
ENSMUSG00000001739.14	Cldn15	0.656548256878916	0.400442324820336	NA
ENSMUSG00000001741.12	Il16	0.280691796143542	9.14891763504414e-05	0.00337956869314666
ENSMUSG00000001750.16	Tcirg1	-0.131831509044421	0.187644819619255	0.608863837493494
ENSMUSG00000001751.9	Naglu	0.0875514734473614	0.309046109042871	0.732374200479527
ENSMUSG00000001755.12	Coasy	0.0354586809852607	0.665262626208633	0.915788841605615
ENSMUSG00000001761.7	Smo	0.118640332285788	0.540943331566171	0.870030045779545
ENSMUSG00000001763.14	Tspan33	-0.795788117477119	0.0200379370513169	0.188959703867279
ENSMUSG00000001767.5	Crnkl1	-0.0928618416774811	0.129352555885356	0.516224345613547
ENSMUSG00000001768.16	Rin2	-0.206080590687505	0.00269257574687192	0.0488695833265801
ENSMUSG00000001773.14	Folh1	NA	NA	NA
ENSMUSG00000001774.8	Chordc1	0.0333373606713226	0.674902268446428	0.919487320477685
ENSMUSG00000001783.3	Rtcb	-0.16218342077866	0.0133579309369122	0.14425188305583
ENSMUSG00000001785.13	Pwp1	-0.0339570159950792	0.613916554018016	0.899588955303178
ENSMUSG00000001786.14	Fbxo7	0.0188845451482346	0.802774867943415	0.957669156560241
ENSMUSG00000001794.13	Capns1	0.0114416254522352	0.861630770508687	0.9724699391885
ENSMUSG00000001802.16	Lrp3	-0.447872784388712	0.581995585846957	NA
ENSMUSG00000001804.9	Dsg4	NA	NA	NA
ENSMUSG00000001815.15	Evx2	NA	NA	NA
ENSMUSG00000001819.4	Hoxd13	-0.626330058080694	0.851796937554396	NA
ENSMUSG00000001823.5	Hoxd12	NA	NA	NA
ENSMUSG00000001827.12	Folr1	-0.514688016756495	0.751708100241599	NA
ENSMUSG00000001829.17	Clpb	-0.0615995798083172	0.459994275421628	0.832750850684802
ENSMUSG00000001833.17	Sept7	-0.119865336771687	0.154405686365749	0.556603114805364
ENSMUSG00000001844.10	Zdhhc4	-0.0268129975381771	0.726724366482496	0.936911142511346
ENSMUSG00000001847.14	Rac1	0.00533405052492737	0.88904331520846	0.977743410338431
